Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric,-218.186000,-120.650000,0.000000,bottom
C2,100nF,C_0603_1608Metric,-219.583000,-107.048000,90.000000,bottom
C3,100nF,C_0603_1608Metric,-228.092000,-116.078000,90.000000,bottom
C4,100nF,C_0603_1608Metric,-228.092000,-110.236000,-90.000000,bottom
C5,22pf,C_0603_1608Metric,-215.773000,-116.967000,0.000000,bottom
C6,22pf,C_0603_1608Metric,-215.646000,-111.252000,180.000000,bottom
C7,1u,C_0603_1608Metric,-221.996000,-120.396000,-90.000000,bottom
D1,LED,LED_0805_2012Metric,-220.296500,-131.572000,0.000000,bottom
R1,10k,R_0603_1608Metric,-218.504000,-126.238000,0.000000,bottom
R2,22R,R_0603_1608Metric,-225.044000,-120.396000,-90.000000,bottom
R3,22R,R_0603_1608Metric,-223.520000,-120.396000,-90.000000,bottom
R4,470R,R_0603_1608Metric,-215.837000,-131.572000,180.000000,bottom
R5,100k,R_0603_1608Metric,-193.040000,-108.966000,180.000000,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,-223.027000,-113.523000,90.000000,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,-215.689000,-114.085000,-90.000000,bottom
