Comment,Designator,Footprint,LCSC
ATmega32U4-MU,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
SW_Push,SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,C118141
100nF,"C2,C3,C4",C_0603_1608Metric,C14663
1u,C7,C_0603_1608Metric,C15849
18pF,"C5,C6",C_0603_1608Metric,C1647
4.7uF,C1,C_0805_2012Metric,C1779
470R,"R4,R6",R_0603_1608Metric,C23179
5k1,"R7,R8",R_0603_1608Metric,C23186
22R,"R2,R3",R_0603_1608Metric,C23345
100k,R5,R_0603_1608Metric,C25803
10k,R1,R_0603_1608Metric,C25804
CX2016DB16000D0WZRC1,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C2682780
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C2936185
LED,"D1,D2",LED_0805_2012Metric,C84256
USBLC6-2P6,U2,SOT-666,C15999
