Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric,194.564,-77.343,90.0,top
C2,100nF,C_0603_1608Metric,191.008,-77.089,90.0,top
C3,100nF,C_0603_1608Metric,192.659,-77.089,90.0,top
C4,100nF,C_0603_1608Metric,186.309,-88.011,180.0,top
C5,8pF,C_0603_1608Metric,183.007,-79.883,0.0,top
C6,8pF,C_0603_1608Metric,182.499,-84.709,180.0,top
C7,1u,C_0603_1608Metric,187.706,-77.343,180.0,top
D1,LED,LED_0805_2012Metric,200.0504,-82.6008,180.0,top
D2,LED,LED_0805_2012Metric,208.5848,-82.55,180.0,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,224.8916,-89.154,0.0,top
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,181.61,-76.4032,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,230.4412,-82.5968,90.0,top
R1,10k,R_0603_1608Metric,185.039,-77.089,-90.0,top
R2,22R,R_0603_1608Metric,201.295,-77.978,0.0,top
R3,22R,R_0603_1608Metric,201.295,-76.327,0.0,top
R4,470R,R_0603_1608Metric,204.1144,-82.6008,0.0,top
R5,100k,R_0603_1608Metric,197.866,-77.089,90.0,top
R6,470R,R_0603_1608Metric,212.344,-82.55,0.0,top
R7,10k,R_0603_1608Metric,224.8408,-84.6836,-90.0,top
R8,5k1,R_0603_1608Metric,224.8408,-79.6036,-90.0,top
SW1,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,221.869,-82.55,-90.0,top
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,188.849,-82.931,180.0,top
Y1,CX2016DB16000D0WZRC1,Crystal_SMD_2016-4Pin_2.0x1.6mm,182.753,-82.296,-90.0,top
